UF,COD. UF,COD. MUNIC,NOME DO MUNICÍPIO,POPULAÇÃO ESTIMADA,,,,,,,,,
PA,15,03705,Itupiranga,"53,182",,,,,,,,,
PA,15,03754,Jacareacanga,8.899 (6),,,,,,,,,
PA,15,03804,Jacundá,"58,457",,,,,,,,,
PA,15,03903,Juruti,"56,908",,,,,,,,,
PA,15,04000,Limoeiro do Ajuru,"28,583",,,,,,,,,
PA,15,04059,Mãe do Rio,"29,917",,,,,,,,,
PA,15,04109,Magalhães Barata,"8,523",,,,,,,,,
PA,15,04208,Marabá,"275,086",,,,,,,,,
PA,15,04307,Maracanã,"29,429",,,,,,,,,
PA,15,04406,Marapanim,"28,220",,,,,,,,,
PA,15,04422,Marituba,"129,321",,,,,,,,,
PA,15,04455,Medicilândia,"31,213",,,,,,,,,
PA,15,04505,Melgaço,"27,415",,,,,,,,,
PA,15,04604,Mocajuba,"30,736",,,,,,,,,
PA,15,04703,Moju,"80,988",,,,,,,,,
PA,15,04752,Mojuí dos Campos,"15,982",,,,,,,,,
PA,15,04802,Monte Alegre,"57,900",,,,,,,,,
PA,15,04901,Muaná,"39,783",,,,,,,,,
PA,15,04950,Nova Esperança do Piriá,"21,291",,,,,,,,,
PA,15,04976,Nova Ipixuna,"16,499",,,,,,,,,
PA,15,05007,Nova Timboteua,"15,218",,,,,,,,,
PA,15,05031,Novo Progresso,"25,758",,,,,,,,,
PA,15,05064,Novo Repartimento,"74,602",,,,,,,,,
PA,15,05106,Óbidos,"51,964",,,,,,,,,
PA,15,05205,Oeiras do Pará,"32,168",,,,,,,,,
PA,15,05304,Oriximiná,"72,160",,,,,,,,,
PA,15,05403,Ourém,"17,721",,,,,,,,,
PA,15,05437,Ourilândia do Norte,"32,319",,,,,,,,,
PA,15,05486,Pacajá,"46,986",,,,,,,,,
PA,15,05494,Palestina do Pará,"7,596",,,,,,,,,
PA,15,05502,Paragominas,"111,764",,,,,,,,,
PA,15,05536,Parauapebas,"202,882",,,,,,,,,
PA,15,05551,Pau D'Arco,"5,557",,,,,,,,,
PA,15,05601,Peixe-Boi,"8,073",,,,,,,,,
PA,15,05635,Piçarra,"12,983",,,,,,,,,
PA,15,05650,Placas,"30,293",,,,,,,,,
PA,15,05700,Ponta de Pedras,"30,608",,,,,,,,,
PA,15,05809,Portel,"61,126",,,,,,,,,
PA,15,05908,Porto de Moz,"40,458",,,,,,,,,
PA,15,06005,Prainha,"29,886",,,,,,,,,
PA,15,06104,Primavera,"10,792",,,,,,,,,
PA,15,06112,Quatipuru,"13,512",,,,,,,,,
PA,15,06138,Redenção,"83,997",,,,,,,,,
PA,15,06161,Rio Maria,"18,186",,,,,,,,,
PA,15,06187,Rondon do Pará,"51,903",,,,,,,,,
PA,15,06195,Rurópolis,"49,503",,,,,,,,,
PA,15,06203,Salinópolis,"40,424",,,,,,,,,
PA,15,06302,Salvaterra,"23,424",,,,,,,,,
PA,15,06351,Santa Bárbara do Pará,"20,704",,,,,,,,,
PA,15,06401,Santa Cruz do Arari,"9,939",,,,,,,,,
PA,15,06500,Santa Izabel do Pará,"69,746",,,,,,,,,
PA,15,06559,Santa Luzia do Pará,"19,852",,,,,,,,,
PA,15,06583,Santa Maria das Barreiras,"21,042",,,,,,,,,
PA,15,06609,Santa Maria do Pará,"24,725",,,,,,,,,
PA,15,06708,Santana do Araguaia,"71,187",,,,,,,,,
PA,15,06807,Santarém,"302,667",,,,,,,,,
PA,15,06906,Santarém Novo,"6,664",,,,,,,,,
PA,15,07003,Santo Antônio do Tauá,"31,038",,,,,,,,,
PA,15,07102,São Caetano de Odivelas,"17,970",,,,,,,,,
PA,15,07151,São Domingos do Araguaia,"25,358",,,,,,,,,
PA,15,07201,São Domingos do Capim,"31,837",,,,,,,,,
PA,15,07300,São Félix do Xingu,"124,763",,,,,,,,,
PA,15,07409,São Francisco do Pará,"15,833",,,,,,,,,
PA,15,07458,São Geraldo do Araguaia,"24,991",,,,,,,,,
PA,15,07466,São João da Ponta,"6,059",,,,,,,,,
PA,15,07474,São João de Pirabas,"22,842",,,,,,,,,
PA,15,07508,São João do Araguaia,"13,940",,,,,,,,,
PA,15,07607,São Miguel do Guamá,"58,328",,,,,,,,,
PA,15,07706,São Sebastião da Boa Vista,"26,301",,,,,,,,,
PA,15,07755,Sapucaia,"5,849",,,,,,,,,
PA,15,07805,Senador José Porfírio,"11,839",,,,,,,,,
PA,15,07904,Soure,"25,181",,,,,,,,,
PA,15,07953,Tailândia,"103,664",,,,,,,,,
PA,15,07961,Terra Alta,"11,591",,,,,,,,,
PA,15,07979,Terra Santa,"18,619",,,,,,,,,
PA,15,08001,Tomé-Açu,"62,854",,,,,,,,,
PA,15,08035,Tracuateua,"30,656",,,,,,,,,
PA,15,08050,Trairão,"18,807",,,,,,,,,
PA,15,08084,Tucumã,"39,059",,,,,,,,,
PA,15,08100,Tucuruí,"112,148",,,,,,,,,
PA,15,08126,Ulianópolis,"57,632",,,,,,,,,
PA,15,08159,Uruará,"45,517",,,,,,,,,
